Seq_1	AFK25754__REFSEQ-class_II_alpha-phycoerythrin__Synechococcus_sp._M11.2
Seq_2	CBX53435__REFSEQ-phycoerythrin_alpha_subunit__uncultured_cyanobacterium
Seq_3	CBX53455__REFSEQ-phycoerythrin_alpha_subunit__uncultured_cyanobacterium
Seq_4	NP_896580__REFSEQ-allophycocyanin_alpha_chain__Synechococcus_sp._WH_8102
Seq_5	NP_898100__REFSEQ-C-phycoerythrin_class_II_alpha_chain__Synechococcus_sp._WH_8102
Seq_6	NP_898107__REFSEQ-C-phycoerythrin_class_I_alpha_chain__Synechococcus_sp._WH_8102
Seq_7	P11394__REFSEQ-R-phycocyanin_II_alpha_chain__Synechococcus_sp._WH_8103
Seq_8	Q02179__REFSEQ-C-phycoerythrin_class_I_alpha_chain__Synechococcus_sp._WH_8020
Seq_9	YP_001228313__REFSEQ-C-phycoerythrin_class_I_alpha_chain__Synechococcus_sp._RCC307
Seq_10	YP_377895__REFSEQ-C-phycoerythrin_class_II_alpha_chain__Synechococcus_sp._CC9902
Seq_11	YP_377910__REFSEQ-phycocyanin__alpha_subunit__Synechococcus_sp._CC9902
Seq_12	YP_380751__REFSEQ-phycocyanin__alpha_subunit__Synechococcus_sp._CC9605
Seq_13	YP_380758__REFSEQ-C-phycoerythrin_class_I_alpha_chain__Synechococcus_sp._CC9605
Seq_14	YP_380765__REFSEQ-C-phycoerythrin_class_II_alpha_chain__Synechococcus_sp._CC9605
Seq_15	YP_382491__REFSEQ-allophycocyanin_alpha_chain__Synechococcus_sp._CC9605
Seq_16	ZP_01122883__REFSEQ-allophycocyanin_alpha_chain__Synechococcus_sp._WH_7805
Seq_17	ZP_01473089__REFSEQ-C-phycoerythrin_class_II_alpha_chain__Synechococcus_sp._RS9916
Seq_18	ZP_05788292__REFSEQ-phycocyanin__alpha_subunit__Synechococcus_sp._WH_8109
Seq_19	ZP_05788646__REFSEQ-allophycocyanin_alpha_chain__Synechococcus_sp._WH_8109
Seq_20	ZP_08957395__REFSEQ-phycocyanin__alpha_subunit__Synechococcus_sp._WH_8016
